company_id,employee_count,follower_count,time_recorded,class_employees,class_followers
81149246,6,91,1692644644.2779734,Low,Low
10033339,3,187,1692644644.2779734,Low,Low
6049228,20,82,1692644645.1013184,Low,Low
2641066,45,2336,1692644645.9232166,Low,Low
96649998,0,2,1692644645.924219,Low,Low
82684341,3,128,1692644646.3704655,Low,Low
82296828,0,64,1692644646.3704655,Low,Low
86746333,11,478,1692644646.8182244,Low,Low
718651,5,22,1692644647.1765628,Low,Low
4781041,14,17,1692644647.62722,Low,Low
7573454,94,9048,1692644648.0613468,Medium,Medium
1434753,61,653,1692644648.0613468,Low,Low
90844,249,1236,1692644648.44355,Medium,Low
91459053,2,24,1692644648.8276289,Low,Low
145145,44,16833,1692644648.8276289,Low,Medium
2899710,139,2841,1692644649.205593,Medium,Low
20338460,38,1656,1692644649.205593,Low,Low
90633414,5,732,1692644649.578196,Low,Low
2902815,183,29262,1692644649.578196,Medium,Medium
371180,1893,31310,1692644649.9914944,High,Medium
10563070,14,349,1692644649.9914944,Low,Low
88684,147,8111,1692644650.34355,Medium,Medium
14615655,36,10237,1692644650.34355,Low,Medium
69571610,3717,158109,1692644650.6863291,High,High
3657,28732,744716,1692644650.6863291,High,High
62424,899,10311,1692644651.0513952,High,Medium
18630069,19,1884,1692644651.0513952,Low,Low
1387626,1676,39770,1692644651.449499,High,High
35602,462,5824,1692644651.449499,Medium,Medium
18872958,335,156482,1692644652.0976858,Medium,High
89908682,18,301,1692644652.0976858,Low,Low
2502541,29,8058,1692644653.155199,Low,Medium
9516195,113,8089,1692644653.155199,Medium,Medium
298409,395,146046,1692644653.5256968,Medium,High
37768,2025,231325,1692644653.940611,High,High
91187899,2,582,1692644653.9416597,Low,Low
7032083,119,40756,1692644654.387137,Medium,High
33874,3725,15731,1692644654.3881612,High,Medium
8986045,0,116,1692644655.195742,Low,Low
81886402,1687,30991,1692644655.195742,High,Medium
34771768,7,413,1692644655.5833864,Low,Low
3579761,1873,17929,1692644655.5833864,High,Medium
6979,25985,387187,1692644655.9695814,High,High
79378951,19,95,1692644656.7188246,Low,Low
26489605,19,762,1692644656.7188246,Low,Low
9215353,499,6977,1692644657.0863972,Medium,Medium
76323347,932,14276,1692644657.4319358,High,Medium
3514329,422,20754,1692644659.0128863,Medium,Medium
2999886,17,16309,1692644659.3629177,Low,Medium
8288,5521,87035,1692644659.3629177,High,High
2815,43186,284104,1692644659.9981124,High,High
61677,2815,389704,1692644660.3392503,High,High
40934666,5,16505,1692644660.3392503,Low,Medium
1485063,29,229,1692644661.1587803,Low,Low
19115854,113,267,1692644661.6190252,Medium,Low
1124883,98,696,1692644661.6190252,Medium,Low
4316275,12,20,1692644661.994752,Low,Low
27116461,59,11841,1692644661.994752,Low,Medium
64734122,31,291,1692644662.3694382,Low,Low
272676,6,590,1692644663.2780228,Low,Low
3079381,8,178,1692644663.2780228,Low,Low
10665641,449,47697,1692644663.660056,Medium,High
2313067,7,10842,1692644663.660056,Low,Medium
777243,356,241253,1692644664.067028,Medium,High
72332830,91,32494,1692644664.068053,Medium,High
165957,4756,90015,1692644664.4544868,High,High
166612,9708,147371,1692645428.0,High,High
22681,790,102620,1692645428.0,Medium,High
2326570,670,59672,1692645429.0,Medium,High
82591929,8,2159,1692684486.0,Low,Low
90403412,1,4,1692684486.0,Low,Low
11555975,18,751,1692684486.0,Low,Low
301266,34,825,1692684486.0,Low,Low
922460,222,2941,1692684487.0,Medium,Low
11001662,5,409,1692684487.0,Low,Low
25963,1250,20418,1692684487.0,High,Medium
54945276,7,7,1692684487.0,Low,Low
72628508,10,1242,1692684488.0,Low,Low
61242,156,2498,1692684488.0,Medium,Low
9599126,64,263,1692684488.0,Low,Low
260776,311,5405,1692684488.0,Medium,Medium
1476408,572,36757,1692684489.0,Medium,High
153682,538,5185,1692684489.0,Medium,Medium
90636422,282,2104,1692684489.0,Medium,Low
80998774,88,2554,1692684489.0,Medium,Low
71558880,108,1879,1692684489.0,Medium,Low
965922,18,448,1692684489.0,Low,Low
84013022,4,96,1692684490.0,Low,Low
1505704,418,5615,1692684490.0,Medium,Medium
11234188,59,4705,1692684490.0,Low,Medium
14015698,12,275,1692684491.0,Low,Low
74886057,1,14,1692684491.0,Low,Low
477012,16,2274,1692684491.0,Low,Low
150217,551,8906,1692684491.0,Medium,Medium
8167270,38,631,1692684491.0,Low,Low
15440862,98,690,1692684492.0,Medium,Low
11420962,6001,115401,1692684492.0,High,High
16063763,39,2729,1692684492.0,Low,Low
40775779,68,901,1692684492.0,Medium,Low
1211072,131,2050,1692684493.0,Medium,Low
4743385,40,699,1692684493.0,Low,Low
109690,188,6932,1692684493.0,Medium,Medium
82809834,2,3121,1692684494.0,Low,Low
5103135,36,1463,1692684494.0,Low,Low
25719,52,796,1692684494.0,Low,Low
64948032,70,2607,1692684494.0,Medium,Low
99429,201,2385,1692684495.0,Medium,Low
2281751,20,293,1692684495.0,Low,Low
1724775,140,35612,1692684495.0,Medium,High
8596,4836,94215,1692684496.0,High,High
22330287,989,40087,1692684496.0,High,High
80851163,11,341,1692684496.0,Low,Low
88171782,11,384,1692684496.0,Low,Low
2434292,5,3432,1692684497.0,Low,Low
165416,5752,81838,1692684497.0,High,High
104849,147,4301,1692684497.0,Medium,Medium
37270045,7,121,1692684497.0,Low,Low
71612518,3,76,1692684497.0,Low,Low
3671,16063,204662,1692684497.0,High,High
2413926,13,8106,1692684499.0,Low,Medium
3663488,51,5665,1692684499.0,Low,Medium
2474970,78,9443,1692684500.0,Medium,Medium
101699,733,9555,1692684501.0,Medium,Medium
4857886,2948,45509,1692684503.0,High,High
1584751,10,22616,1692684505.0,Low,Medium
2908367,1735,164175,1692684506.0,High,High
90723074,96,548,1692684507.0,Medium,Low
206587,13,911,1692684507.0,Low,Low
205127,139,88337,1692684507.0,Medium,High
344890,1014,2407,1692684508.0,High,Low
1441,285743,30762143,1692684508.0,High,High
9185,19759,114381,1692684508.0,High,High
93283844,0,964,1692684510.0,Low,Low
1318,290150,7770078,1692684512.0,High,High
26923,1054,4203,1692684512.0,High,Medium
28014,1585,95817,1692684512.0,High,High
64877765,70,27772,1692684518.0,Medium,Medium
20767,234,23795,1692684518.0,Medium,Medium
10589520,152,7239,1692684519.0,Medium,Medium
11135982,24872,410103,1692684519.0,High,High
2625582,33,3705,1692684519.0,Low,Low
1117761,198,3232,1692684519.0,Medium,Low
18883340,347,1360,1692684520.0,Medium,Low
94141062,7,281,1692684520.0,Low,Low
16055920,13,9,1692684520.0,Low,Low
2138573,24,970,1692684520.0,Low,Low
2272345,30,1111,1692684520.0,Low,Low
67936,372,4446,1692684521.0,Medium,Medium
28609431,15,777,1692684521.0,Low,Low
90392784,4,30,1692684521.0,Low,Low
57142940,26,125,1692684522.0,Low,Low
2853559,10,632,1692684522.0,Low,Low
9282983,15,10284,1692684522.0,Low,Medium
34208,2508,31229,1692684522.0,High,Medium
9238932,72,1277,1692684522.0,Medium,Low
92430070,2,475,1692684523.0,Low,Low
98550552,0,29,1692684523.0,Low,Low
10069048,21,850,1692684523.0,Low,Low
10779570,57,1251,1692684524.0,Low,Low
11158118,68,213,1692684524.0,Medium,Low
15391027,23,464,1692684525.0,Low,Low
444038,68,6359,1692684525.0,Medium,Medium
33246798,50049,2663406,1692684525.0,High,High
35504315,3785,18526,1692684526.0,High,Medium
346080,2808,35495,1692684527.0,High,High
1264,3543,130651,1692684527.0,High,High
6978821,705,380769,1692684529.0,Medium,High
1177302,964,27592,1692684530.0,High,Medium
1400,31271,1697119,1692684531.0,High,High
36879,1102,7666,1692684531.0,High,Medium
808034,18302,90008,1692684531.0,High,High
80862575,437,1560,1692684532.0,Medium,Low
1262,65850,2104220,1692684532.0,High,High
3690818,1889,14225,1692684533.0,High,Medium
73013724,251,28671,1692684533.0,Medium,Medium
22980,713,5279,1692684534.0,Medium,Medium
94355,1032,22290,1692684534.0,High,Medium
230495,69,3060,1692684535.0,Medium,Low
113254,2949,44877,1692684535.0,High,High
1075434,15907,124632,1692684536.0,High,High
107457,727,7206,1692684536.0,Medium,Medium
18270206,47,611,1692684538.0,Low,Low
49223,1405,8126,1692684539.0,High,Medium
12601,4227,112880,1692684539.0,High,High
16198010,89916,1963112,1692684540.0,High,High
8274,7320,420958,1692684540.0,High,High
18691,7196,36533,1692684540.0,High,High
10409601,29,486,1692684541.0,Low,Low
79806,525,17404,1692684542.0,Medium,Medium
1947704,55,1398,1692684543.0,Low,Low
89094,196,8256,1692684543.0,Medium,Medium
2263179,5998,108685,1692684544.0,High,High
468782,8546,135847,1692684544.0,High,High
434598,1013,88955,1692684545.0,High,High
7550,5410,85781,1692684546.0,High,High
6684,5879,600171,1692684547.0,High,High
1633243,101,2533,1692684547.0,Medium,Low
6476,2038,25270,1692684548.0,High,Medium
89830003,2,96,1692684549.0,Low,Low
1063,99677,6182716,1692684549.0,High,High
6547149,1154,12651,1692684549.0,High,Medium
46521,1009,8224,1692684549.0,High,Medium
24629,181,452226,1692684552.0,Medium,High
78853109,110,2502,1692684553.0,Medium,Low
13181,2919,22093,1692684555.0,High,Medium
1089558,48,14476,1692772325.0,Low,Medium
3894635,40,563,1692772326.0,Low,Low
18995316,49,1960,1692772326.0,Low,Low
882349,95,736,1692772328.0,Medium,Low
61469,202,1812,1692772328.0,Medium,Low
21514196,151,5035,1692772330.0,Medium,Medium
6910,11000,342625,1692772332.0,High,High
9730586,871,29587,1692772332.0,High,Medium
61400,531,10409,1692772333.0,Medium,Medium
77169664,18,42,1692772333.0,Low,Low
73828006,3,107,1692772335.0,Low,Low
68746191,7,31,1692772335.0,Low,Low
69660814,24,45,1692772336.0,Low,Low
81922135,5,59,1692772336.0,Low,Low
131915,148,1670,1692772338.0,Medium,Low
62804,142,1562,1692772338.0,Medium,Low
1889003,53,331,1692772339.0,Low,Low
3149515,31,7845,1692772339.0,Low,Medium
2937626,36,1918,1692772340.0,Low,Low
3628379,58,1232,1692772340.0,Low,Low
18192301,20,113,1692772342.0,Low,Low
